2_time1(ch1),2_voltage1(ch1),3_time1(ch1),3_voltage1(ch1),4_time1(ch1),4_voltage1(ch1),5_time1(ch1),5_voltage1(ch1),6_time1(ch1),6_voltage1(ch1),7_time1(ch1),7_voltage1(ch1)
-0.0000002464,0.02,-0.0000001142,0.02,-0.0000001142,0.008,-0.0000002464,-0.008,-0.0000002464,-0.008,-0.0000002464,0.0088
-0.0000002462,0.04,-0.0000001141,0.02,-0.0000001141,0.008,-0.0000002462,-0.008,-0.0000002462,-0.008,-0.0000002462,0.008
-0.000000246,0.04,-0.000000114,0.02,-0.000000114,0.008,-0.000000246,-0.008,-0.000000246,-0.008,-0.000000246,0.008
-0.0000002458,0.06,-0.0000001139,0.02,-0.0000001139,0.008,-0.0000002458,-0.008,-0.0000002458,-0.008,-0.0000002458,0.008
-0.0000002456,0.06,-0.0000001138,0.04,-0.0000001138,0.008,-0.0000002456,0,-0.0000002456,-0.008,-0.0000002456,0.008
-0.0000002454,0.06,-0.0000001137,0.04,-0.0000001137,0.008,-0.0000002454,0,-0.0000002454,-0.008,-0.0000002454,0.0072
-0.0000002452,0.06,-0.0000001136,0.04,-0.0000001136,0.008,-0.0000002452,0.008,-0.0000002452,0,-0.0000002452,0.0072
-0.000000245,0.06,-0.0000001135,0.04,-0.0000001135,0.008,-0.000000245,0.008,-0.000000245,0,-0.000000245,0.0072
-0.0000002448,0.06,-0.0000001134,0.02,-0.0000001134,0.008,-0.0000002448,0.008,-0.0000002448,0,-0.0000002448,0.0072
-0.0000002446,0.04,-0.0000001133,0.02,-0.0000001133,0.016,-0.0000002446,0.016,-0.0000002446,0,-0.0000002446,0.008
-0.0000002444,0.04,-0.0000001132,0.02,-0.0000001132,0.016,-0.0000002444,0.016,-0.0000002444,0,-0.0000002444,0.008
-0.0000002442,0.04,-0.0000001131,0.02,-0.0000001131,0.016,-0.0000002442,0.016,-0.0000002442,0.008,-0.0000002442,0.008
-0.000000244,0.04,-0.000000113,0.02,-0.000000113,0.016,-0.000000244,0.008,-0.000000244,0.008,-0.000000244,0.0088
-0.0000002438,0.04,-0.0000001129,0,-0.0000001129,0.016,-0.0000002438,0.008,-0.0000002438,0.008,-0.0000002438,0.0088
-0.0000002436,0.04,-0.0000001128,0,-0.0000001128,0.016,-0.0000002436,0,-0.0000002436,0.008,-0.0000002436,0.0096
-0.0000002434,0.04,-0.0000001127,0,-0.0000001127,0.016,-0.0000002434,0,-0.0000002434,0.008,-0.0000002434,0.0096
-0.0000002432,0.04,-0.0000001126,0,-0.0000001126,0.016,-0.0000002432,0,-0.0000002432,0.016,-0.0000002432,0.0096
-0.000000243,0.04,-0.0000001125,0,-0.0000001125,0.016,-0.000000243,-0.008,-0.000000243,0.016,-0.000000243,0.0088
-0.0000002428,0.04,-0.0000001124,0,-0.0000001124,0.016,-0.0000002428,-0.008,-0.0000002428,0.016,-0.0000002428,0.0088
-0.0000002426,0.04,-0.0000001123,0,-0.0000001123,0.016,-0.0000002426,-0.008,-0.0000002426,0.016,-0.0000002426,0.0088
-0.0000002424,0.04,-0.0000001122,-0.02,-0.0000001122,0.016,-0.0000002424,-0.008,-0.0000002424,0.016,-0.0000002424,0.008
-0.0000002422,0.04,-0.0000001121,-0.02,-0.0000001121,0.016,-0.0000002422,0,-0.0000002422,0.024,-0.0000002422,0.0072
-0.000000242,0.04,-0.000000112,0,-0.000000112,0.008,-0.000000242,0,-0.000000242,0.024,-0.000000242,0.0072
-0.0000002418,0.04,-0.0000001119,0,-0.0000001119,0.008,-0.0000002418,0,-0.0000002418,0.024,-0.0000002418,0.0064
-0.0000002416,0.04,-0.0000001118,0,-0.0000001118,0.008,-0.0000002416,0,-0.0000002416,0.024,-0.0000002416,0.0064
-0.0000002414,0.04,-0.0000001117,0,-0.0000001117,0.008,-0.0000002414,0,-0.0000002414,0.024,-0.0000002414,0.0056
-0.0000002412,0.04,-0.0000001116,0,-0.0000001116,0.008,-0.0000002412,0.008,-0.0000002412,0.024,-0.0000002412,0.0056
-0.000000241,0.04,-0.0000001115,0,-0.0000001115,0.008,-0.000000241,0,-0.000000241,0.016,-0.000000241,0.0056
-0.0000002408,0.04,-0.0000001114,0,-0.0000001114,0.008,-0.0000002408,0,-0.0000002408,0.016,-0.0000002408,0.0056
-0.0000002406,0.04,-0.0000001113,0,-0.0000001113,0.008,-0.0000002406,0,-0.0000002406,0.008,-0.0000002406,0.0064
-0.0000002404,0.04,-0.0000001112,0,-0.0000001112,0.008,-0.0000002404,0,-0.0000002404,0.008,-0.0000002404,0.0064
-0.0000002402,0.04,-0.0000001111,0,-0.0000001111,0.008,-0.0000002402,0,-0.0000002402,0.008,-0.0000002402,0.0072
-0.00000024,0.04,-0.000000111,0,-0.000000111,0.008,-0.00000024,0,-0.00000024,0,-0.00000024,0.0072
-0.0000002398,0.04,-0.0000001109,0,-0.0000001109,0.008,-0.0000002398,-0.008,-0.0000002398,0,-0.0000002398,0.008
-0.0000002396,0.02,-0.0000001108,0,-0.0000001108,0,-0.0000002396,-0.008,-0.0000002396,0,-0.0000002396,0.0088
-0.0000002394,0.02,-0.0000001107,0,-0.0000001107,0,-0.0000002394,0,-0.0000002394,0,-0.0000002394,0.0088
-0.0000002392,0.02,-0.0000001106,0,-0.0000001106,0,-0.0000002392,0,-0.0000002392,0.008,-0.0000002392,0.0088
-0.000000239,0.02,-0.0000001105,0,-0.0000001105,0.008,-0.000000239,0,-0.000000239,0.008,-0.000000239,0.0088
-0.0000002388,0.02,-0.0000001104,0,-0.0000001104,0.008,-0.0000002388,0,-0.0000002388,0.008,-0.0000002388,0.0096
-0.0000002386,0.02,-0.0000001103,0,-0.0000001103,0.008,-0.0000002386,0,-0.0000002386,0.008,-0.0000002386,0.0096
-0.0000002384,0.02,-0.0000001102,0,-0.0000001102,0.008,-0.0000002384,0,-0.0000002384,0.016,-0.0000002384,0.0096
-0.0000002382,0.02,-0.0000001101,0,-0.0000001101,0.008,-0.0000002382,0.008,-0.0000002382,0.016,-0.0000002382,0.0096
-0.000000238,0.02,-0.00000011,0,-0.00000011,0.008,-0.000000238,0.008,-0.000000238,0.008,-0.000000238,0.0096
-0.0000002378,0.04,-0.0000001099,0,-0.0000001099,0.008,-0.0000002378,0.008,-0.0000002378,0.008,-0.0000002378,0.0096
-0.0000002376,0.04,-0.0000001098,0,-0.0000001098,0.008,-0.0000002376,0.008,-0.0000002376,0,-0.0000002376,0.0096
-0.0000002374,0.04,-0.0000001097,0,-0.0000001097,0.008,-0.0000002374,0.008,-0.0000002374,0,-0.0000002374,0.0088
-0.0000002372,0.04,-0.0000001096,0,-0.0000001096,0.008,-0.0000002372,0.016,-0.0000002372,0,-0.0000002372,0.0088
-0.000000237,0.04,-0.0000001095,0,-0.0000001095,0.008,-0.000000237,0.016,-0.000000237,-0.008,-0.000000237,0.0088
-0.0000002368,0.04,-0.0000001094,0,-0.0000001094,0.008,-0.0000002368,0.016,-0.0000002368,-0.008,-0.0000002368,0.0088
-0.0000002366,0.02,-0.0000001093,0,-0.0000001093,0.016,-0.0000002366,0.016,-0.0000002366,-0.008,-0.0000002366,0.0088
-0.0000002364,0.02,-0.0000001092,0,-0.0000001092,0.016,-0.0000002364,0.024,-0.0000002364,-0.008,-0.0000002364,0.0088
-0.0000002362,0.02,-0.0000001091,0,-0.0000001091,0.016,-0.0000002362,0.024,-0.0000002362,0,-0.0000002362,0.0088
-0.000000236,0.02,-0.000000109,0,-0.000000109,0.008,-0.000000236,0.016,-0.000000236,0,-0.000000236,0.0088
-0.0000002358,0.02,-0.0000001089,0,-0.0000001089,0.008,-0.0000002358,0.016,-0.0000002358,0,-0.0000002358,0.0088
-0.0000002356,0.02,-0.0000001088,0,-0.0000001088,0.008,-0.0000002356,0.016,-0.0000002356,0,-0.0000002356,0.0096
-0.0000002354,0.02,-0.0000001087,0,-0.0000001087,0.008,-0.0000002354,0.008,-0.0000002354,0,-0.0000002354,0.0088
-0.0000002352,0.02,-0.0000001086,0,-0.0000001086,0.008,-0.0000002352,0.008,-0.0000002352,0.008,-0.0000002352,0.0088
-0.000000235,0.02,-0.0000001085,0,-0.0000001085,0.008,-0.000000235,0,-0.000000235,0.008,-0.000000235,0.0088
-0.0000002348,0.02,-0.0000001084,0,-0.0000001084,0.008,-0.0000002348,0,-0.0000002348,0.008,-0.0000002348,0.0088
-0.0000002346,0.02,-0.0000001083,0,-0.0000001083,0.008,-0.0000002346,-0.008,-0.0000002346,0.008,-0.0000002346,0.0088
-0.0000002344,0.02,-0.0000001082,0,-0.0000001082,0.008,-0.0000002344,-0.008,-0.0000002344,0.008,-0.0000002344,0.0088
-0.0000002342,0.02,-0.0000001081,0,-0.0000001081,0.008,-0.0000002342,-0.008,-0.0000002342,0.008,-0.0000002342,0.008
-0.000000234,0.02,-0.000000108,0,-0.000000108,0.008,-0.000000234,-0.008,-0.000000234,0,-0.000000234,0.008
-0.0000002338,0.02,-0.0000001079,0,-0.0000001079,0.008,-0.0000002338,-0.008,-0.0000002338,0,-0.0000002338,0.0088
-0.0000002336,0.02,-0.0000001078,0,-0.0000001078,0,-0.0000002336,-0.008,-0.0000002336,0,-0.0000002336,0.0088
-0.0000002334,0.02,-0.0000001077,0,-0.0000001077,0,-0.0000002334,-0.008,-0.0000002334,0,-0.0000002334,0.0088
-0.0000002332,0.02,-0.0000001076,0,-0.0000001076,0,-0.0000002332,0,-0.0000002332,0,-0.0000002332,0.0088
-0.000000233,0.02,-0.0000001075,0,-0.0000001075,0.008,-0.000000233,0,-0.000000233,0,-0.000000233,0.0088
-0.0000002328,0.04,-0.0000001074,0,-0.0000001074,0.008,-0.0000002328,0,-0.0000002328,0,-0.0000002328,0.0088
-0.0000002326,0.04,-0.0000001073,0,-0.0000001073,0.008,-0.0000002326,0.008,-0.0000002326,0,-0.0000002326,0.0096
-0.0000002324,0.02,-0.0000001072,0,-0.0000001072,0.008,-0.0000002324,0.008,-0.0000002324,0,-0.0000002324,0.0096
-0.0000002322,0.02,-0.0000001071,0,-0.0000001071,0.008,-0.0000002322,0.016,-0.0000002322,0.008,-0.0000002322,0.0096
-0.000000232,0.02,-0.000000107,0,-0.000000107,0.008,-0.000000232,0.016,-0.000000232,0.008,-0.000000232,0.0104
-0.0000002318,0.02,-0.0000001069,0,-0.0000001069,0.008,-0.0000002318,0.016,-0.0000002318,0.008,-0.0000002318,0.0104
-0.0000002316,0,-0.0000001068,0,-0.0000001068,0.008,-0.0000002316,0.016,-0.0000002316,0.008,-0.0000002316,0.0112
-0.0000002314,0,-0.0000001067,0,-0.0000001067,0.008,-0.0000002314,0.016,-0.0000002314,0.016,-0.0000002314,0.0112
-0.0000002312,0,-0.0000001066,0,-0.0000001066,0.008,-0.0000002312,0.016,-0.0000002312,0.016,-0.0000002312,0.0112
-0.000000231,0,-0.0000001065,0,-0.0000001065,0.008,-0.000000231,0.008,-0.000000231,0.016,-0.000000231,0.0112
-0.0000002308,0,-0.0000001064,0,-0.0000001064,0.008,-0.0000002308,0.008,-0.0000002308,0.008,-0.0000002308,0.0112
-0.0000002306,0,-0.0000001063,-0.02,-0.0000001063,0.016,-0.0000002306,0.008,-0.0000002306,0.008,-0.0000002306,0.0112
-0.0000002304,0,-0.0000001062,-0.02,-0.0000001062,0.016,-0.0000002304,0.008,-0.0000002304,0.008,-0.0000002304,0.0112
-0.0000002302,0,-0.0000001061,-0.02,-0.0000001061,0.016,-0.0000002302,0.008,-0.0000002302,0.008,-0.0000002302,0.0112
-0.00000023,0,-0.000000106,-0.02,-0.000000106,0.016,-0.00000023,0.008,-0.00000023,0,-0.00000023,0.012
-0.0000002298,0.02,-0.0000001059,-0.02,-0.0000001059,0.016,-0.0000002298,0.008,-0.0000002298,0,-0.0000002298,0.012
-0.0000002296,0.02,-0.0000001058,-0.02,-0.0000001058,0.016,-0.0000002296,0.008,-0.0000002296,0,-0.0000002296,0.0128
-0.0000002294,0.02,-0.0000001057,-0.02,-0.0000001057,0.016,-0.0000002294,0.008,-0.0000002294,0,-0.0000002294,0.0128
-0.0000002292,0.02,-0.0000001056,-0.02,-0.0000001056,0.016,-0.0000002292,0.008,-0.0000002292,0,-0.0000002292,0.012
-0.000000229,0.04,-0.0000001055,-0.02,-0.0000001055,0.016,-0.000000229,0,-0.000000229,0,-0.000000229,0.012
-0.0000002288,0.04,-0.0000001054,-0.02,-0.0000001054,0.016,-0.0000002288,0,-0.0000002288,0,-0.0000002288,0.012
-0.0000002286,0.04,-0.0000001053,-0.02,-0.0000001053,0.016,-0.0000002286,0,-0.0000002286,0,-0.0000002286,0.012
