comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
279.5,290.5,-5851.979346,1.5463,329.5,340.5,-4368.575624,1.304,379.5,390.5,-3385.9724,3.5372,429.5,440.5,-5608.194622,583.6873
280,291,-5792.832597,1.6073,330,341,-4325.513196,1.3351,380,391,-3353.225348,3.542,430,441,-5575.44757,664.956
280.5,291.5,-5733.888753,1.5663,330.5,341.5,-4282.576867,1.3459,380.5,391.5,-3320.561941,3.5484,430.5,441.5,-5542.784163,741.8789
281,292,-5675.146771,1.542,331,342,-4239.766082,1.3163,381,392,-3287.981859,3.554,431,442,-5510.204082,812.373
281.5,292.5,-5616.605617,1.5647,331.5,342.5,-4197.080292,1.3236,381.5,392.5,-3255.484784,3.5626,431.5,442.5,-5477.707006,874.5195
282,293,-5558.264261,1.5007,332,343,-4154.51895,1.3047,382,393,-3223.070399,3.572,432,443,-5445.292621,926.7445
282.5,293.5,-5500.121684,1.5216,332.5,343.5,-4112.081514,1.3197,382.5,393.5,-3190.738388,3.5838,432.5,443.5,-5412.96061,968.032
283,294,-5442.176871,1.5149,333,344,-4069.767442,1.3371,383,394,-3158.488438,3.5917,433,444,-5380.71066,997.5075
283.5,294.5,-5384.428814,1.5908,333.5,344.5,-4027.576197,1.3508,383.5,394.5,-3126.320237,3.5993,433.5,444.5,-5348.542459,999.999
284,295,-5326.876513,1.6499,334,345,-3985.507246,1.3685,384,395,-3094.233474,3.6119,434,445,-5316.455696,999.999
284.5,295.5,-5269.518975,1.6759,334.5,345.5,-3943.560058,1.371,384.5,395.5,-3062.227841,3.6227,434.5,445.5,-5284.450063,999.999
285,296,-5212.355212,1.6874,335,346,-3901.734104,1.383,385,396,-3030.30303,3.6292,435,446,-5252.525253,999.999
285.5,296.5,-5155.384245,1.6784,335.5,346.5,-3860.02886,1.3797,385.5,396.5,-2998.458736,3.6377,435.5,446.5,-5220.680958,999.999
286,297,-5098.605099,1.6857,336,347,-3818.443804,1.369,386,397,-2966.694654,3.6458,436,447,-5188.916877,999.999
286.5,297.5,-5042.016807,1.6608,336.5,347.5,-3776.978417,1.3933,386.5,397.5,-2935.010482,3.6546,436.5,447.5,-5157.232704,999.999
287,298,-4985.618408,1.636,337,348,-3735.632184,1.4095,387,398,-2903.405918,3.6654,437,448,-5125.628141,999.999
287.5,298.5,-4929.40895,1.6165,337.5,348.5,-3694.404591,1.4256,387.5,398.5,-2871.880664,3.6722,437.5,448.5,-5094.102886,999.999
288,299,-4873.387482,1.5734,338,349,-3653.295129,1.4349,388,399,-2840.434419,3.679,438,449,-5062.656642,999.999
288.5,299.5,-4817.553065,1.5453,338.5,349.5,-3612.30329,1.4307,388.5,399.5,-2809.066889,3.6881,438.5,449.5,-5031.289111,999.999
289,300,-4761.904762,1.5149,339,350,-3571.428571,1.4214,389,400,-2777.777778,3.699,439,450,-5000,999.999
289.5,300.5,-4706.441645,1.5327,339.5,350.5,-3530.670471,1.3993,389.5,400.5,-2746.566792,3.711,439.5,450.5,-4968.789014,999.999
290,301,-4651.162791,1.5233,340,351,-3490.02849,1.3992,390,401,-2715.433638,3.72,440,451,-4937.65586,999.999
290.5,301.5,-4596.067283,1.5343,340.5,351.5,-3449.502134,1.4198,390.5,401.5,-2684.378027,3.7336,440.5,451.5,-4906.600249,999.999
291,302,-4541.15421,1.5281,341,352,-3409.090909,1.4438,391,402,-2653.399668,3.7471,441,452,-4875.621891,999.999
291.5,302.5,-4486.422668,1.5102,341.5,352.5,-3368.794326,1.4646,391.5,402.5,-2622.498275,3.7627,441.5,452.5,-4844.720497,999.999
292,303,-4431.871759,1.5539,342,353,-3328.611898,1.4667,392,403,-2591.673559,3.7802,442,453,-4813.895782,999.999
292.5,303.5,-4377.500588,1.5746,342.5,353.5,-3288.54314,1.4693,392.5,403.5,-2560.925238,3.7949,442.5,453.5,-4783.14746,999.999
293,304,-4323.308271,1.6204,343,354,-3248.587571,1.4823,393,404,-2530.253025,3.8113,443,454,-4752.475248,999.999
293.5,304.5,-4269.293924,1.5811,343.5,354.5,-3208.744711,1.4851,393.5,404.5,-2499.656641,3.8311,443.5,454.5,-4721.878863,999.999
294,305,-4215.456674,1.5984,344,355,-3169.014085,1.4588,394,405,-2469.135802,3.8476,444,455,-4691.358025,999.999
294.5,305.5,-4161.795651,1.6067,344.5,355.5,-3129.395218,1.4485,394.5,405.5,-2438.690232,3.8638,444.5,455.5,-4660.912454,999.999
295,306,-4108.309991,1.5912,345,356,-3089.88764,1.4506,395,406,-2408.31965,3.8799,445,456,-4630.541872,999.999
295.5,306.5,-4054.998835,1.579,345.5,356.5,-3050.490884,1.4787,395.5,406.5,-2378.02378,3.8994,445.5,456.5,-4600.246002,999.999
296,307,-4001.861331,1.5602,346,357,-3011.204482,1.5192,396,407,-2347.802348,3.9133,446,457,-4570.02457,988.7016
