comprimento de onda (nm),(1) 2.5-2.5,(1) 2.5-5,(1) 2.5-10,(2) 2.5-10,(2) 5-10,(2) 10-10,(2) 15-10,(3) 10-2.5,(3) 10-5,(3) 10-10,(3) 10-15,(3) 10-20,(4) 5-2.5,(4) 5-5,(4) 5-10,(5) 15-2.5,(5) 15-5,(5) 15-10
392.5,0,1,7,6.8097,6.9588,8.1458,7.177,0.2944,1.7156,8.1458,17.6475,25.6602,-0.0314,1.1968,7.0531,0.2078,1.4456,7.177
393,0,1,7,6.3861,6.6352,7.944,7.1052,0.3039,1.6504,7.944,17.2552,25.4955,0,1.1931,6.7542,0.2077,1.3958,7.1052
393.5,0,1,6,5.9478,6.318,7.7395,7.034,0.3141,1.6007,7.7395,16.9266,25.3297,0,1.2588,6.4087,0.2089,1.3714,7.034
394,0,1,6,5.5167,6.0324,7.5472,6.9632,0.3133,1.5122,7.5472,16.6276,25.1377,-0.0063,1.2891,6.0509,0.2053,1.3492,6.9632
394.5,0.0345,1,5,5.0765,5.7198,7.3332,6.859,0.254,1.4649,7.3332,16.3454,24.9242,0.0018,1.2206,5.7494,0.2055,1.3179,6.859
395,-0.0692,1,5,4.7138,5.4216,7.0962,6.7418,0.2047,1.4302,7.0962,16.062,24.7046,0.1145,1.1705,5.4423,0.2071,1.3174,6.7418
395.5,0,1,5,4.5984,5.2734,6.8985,6.6412,0.2245,1.4283,6.8985,15.777,24.4313,0.2142,1.0991,5.3202,0.2077,1.2969,6.6412
396,-1,1,5,4.4315,5.081,6.7007,6.5467,0.2214,1.3637,6.7007,15.4941,24.1808,0.2085,1.0408,5.1381,0.1978,1.298,6.5467
396.5,0,1,5,4.2447,4.8836,6.5019,6.4509,0.2151,1.3034,6.5019,15.1999,23.8332,0.0837,1.0345,4.9556,0.197,1.2843,6.4509
397,1,1,5,4.0849,4.7048,6.3076,6.354,0.2092,1.3099,6.3076,14.8449,23.555,0.0075,1.037,4.7613,0.203,1.2788,6.354
397.5,1,1,5,3.9736,4.501,6.0741,6.2594,0.2101,1.2756,6.0741,14.4855,23.2309,0.0082,1.0704,4.5396,0.2061,1.242,6.2594
398,0,1,5,4.0039,4.3207,5.9112,6.1552,0.2098,1.2273,5.9112,14.1497,22.8553,0.0847,1.0305,4.3321,0.2037,1.2167,6.1552
398.5,0,1,5,4.0551,4.0256,5.731,6.0386,0.2087,1.1805,5.731,13.8021,22.3984,0.2174,1.0144,4.1512,0.206,1.196,6.0386
399,0,1,6,3.6863,4.0552,5.54,5.8841,0.2083,1.1185,5.54,13.4889,21.8592,0.191,0.9707,4.1356,0.2097,1.1851,5.8841
399.5,0,2,6,3.7346,3.8811,5.3126,5.7765,0.2099,1.1202,5.3126,13.2171,21.6163,0.0817,0.7786,4.1743,0.2041,1.1478,5.7765
400,-2,2,6,3.722,3.768,5.127,5.753,0.212,1.038,5.127,12.584,20.851,0,0.504,4.274,0.196,1.152,5.753
