(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
421,432,5423.280423,0.282,1.3656,471,482,4253.112033,0.2144,0.5256,521,532,3425.229741,1.0849,1.5573,,,,,
421.5,432.5,5450.041288,0.2778,1.3283,471.5,482.5,4274.611399,0.2221,0.4096,521.5,532.5,3442.879499,1.0891,1.5457,,,,,
422,433,5476.74035,0.2817,1.3567,472,483,4296.066253,0.2274,0.3139,522,533,3460.496143,1.0897,1.5452,,,,,
422.5,433.5,5503.377822,0.2663,1.3078,472.5,483.5,4317.476732,0.2049,0.2306,522.5,533.5,3478.079767,1.0721,1.5356,,,,,
423,434,5529.953917,0.2289,1.2745,473,484,4338.842975,0.1923,0.225,523,534,3495.630462,1.0566,1.5303,,,,,
423.5,434.5,5556.468848,0.2483,1.2929,473.5,484.5,4360.165119,0.1626,0.2597,523.5,534.5,3513.148321,1.0546,1.5271,,,,,
424,435,5582.922824,0.2842,1.3421,474,485,4381.443299,0.144,0.2272,524,535,3530.633437,1.0444,1.5151,,,,,
424.5,435.5,5609.316057,0.3034,1.3536,474.5,485.5,4402.677652,0.1295,0.1426,524.5,535.5,3548.085901,1.0249,1.5023,,,,,
425,436,5635.648755,0.2972,1.3792,475,486,4423.868313,0.1207,0.1319,525,536,3565.505804,1.0182,1.4917,,,,,
425.5,436.5,5661.921126,0.31,1.3819,475.5,486.5,4445.015416,0.1176,0.2083,525.5,536.5,3582.893238,0.9998,1.4742,,,,,
426,437,5688.133377,0.3265,1.3095,476,487,4466.119097,0.1,0.2886,526,537,3600.248293,0.9806,1.4658,,,,,
426.5,437.5,5714.285714,0.3224,1.2354,476.5,487.5,4487.179487,0.0845,0.3413,526.5,537.5,3617.571059,0.9578,1.4407,,,,,
427,438,5740.378343,0.3212,1.2445,477,488,4508.196721,0.0733,0.3354,527,538,3634.861627,0.9248,1.4107,,,,,
427.5,438.5,5766.411468,0.2915,1.1729,477.5,488.5,4529.170931,0.0641,0.3651,527.5,538.5,3652.120087,0.9078,1.3984,,,,,
428,439,5792.385291,0.2626,1.1301,478,489,4550.102249,0.0719,0.4449,528,539,3669.346526,0.8868,1.3733,,,,,
428.5,439.5,5818.300016,0.2903,1.0668,478.5,489.5,4570.990807,0.063,0.4919,528.5,539.5,3686.541036,0.8663,1.3624,,,,,
429,440,5844.155844,0.3039,1.1055,479,490,4591.836735,0.0809,0.5149,529,540,3703.703704,0.8417,1.3342,,,,,
429.5,440.5,5869.952976,0.2965,1.139,479.5,490.5,4612.640163,0.0915,0.4884,529.5,540.5,3720.834618,0.8322,1.3073,,,,,
430,441,5895.69161,0.3131,1.322,480,491,4633.401222,0.1072,0.4793,530,541,3737.933867,0.8065,1.2698,,,,,
430.5,441.5,5921.371946,0.3098,1.4184,480.5,491.5,4654.120041,0.1156,0.4383,530.5,541.5,3755.001539,0.7778,1.2422,,,,,
431,442,5946.994182,0.3124,1.3691,481,492,4674.796748,0.1084,0.4222,531,542,3772.03772,0.7607,1.2152,,,,,
431.5,442.5,5972.558515,0.3034,1.3377,481.5,492.5,4695.431472,0.1085,0.3327,531.5,542.5,3789.042499,0.7392,1.1883,,,,,
432,443,5998.06514,0.2947,1.28,482,493,4716.024341,0.1136,0.2294,532,543,3806.015961,0.7077,1.1605,,,,,
