(2)comp,(2)comp_ajuste,(2)comp_raman,(2)10-5,(2)5-5,(3comp,(3)comp_ajuste,(3)comp_raman,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)comp_ajuste,(4)comp_raman,(4)10-10,(4)10-5
442.5,453.8,2963.860732,0.7306,0.7084,492.5,503.8,2373.075736,0.2151,0.0372,0.9143,592.5,602.5,3402.489627,0.3271,0.0288
443,454.3,2988.113581,0.7433,0.7827,493,504.3,2392.755635,0.2044,0.0476,0.9145,593,603,3416.252073,0.333,0.0339
443.5,454.8,3012.313105,0.7472,0.8588,493.5,504.8,2412.396549,0.1978,0.0591,0.916,593.5,603.5,3429.991715,0.3353,0.0396
444,455.3,3036.459477,0.7518,0.9185,494,505.3,2431.998593,0.1988,0.0616,0.9179,594,604,3443.708609,0.3344,0.0454
444.5,455.8,3060.552874,0.7635,0.9863,494.5,505.8,2451.561882,0.2068,0.064,0.9191,594.5,604.5,3457.402812,0.3324,0.0461
445,456.3,3084.593469,0.7893,1.0354,495,506.3,2471.086532,0.2041,0.0448,0.9194,595,605,3471.07438,0.3326,0.0453
445.5,456.8,3108.581436,0.8279,1.0922,495.5,506.8,2490.572656,0.2094,0.0502,0.924,595.5,605.5,3484.723369,0.3304,0.0411
446,457.3,3132.516947,0.8686,1.1134,496,507.3,2510.020369,0.2155,0.0504,0.927,596,606,3498.349835,0.3265,0.0356
446.5,457.8,3156.400175,0.9004,1.116,496.5,507.8,2529.429784,0.2148,0.0511,0.924,596.5,606.5,3511.953833,0.3229,0.0342
447,458.3,3180.23129,0.9433,1.1491,497,508.3,2548.801014,0.2151,0.0611,0.9225,597,607,3525.53542,0.3162,0.0283
447.5,458.8,3204.010462,0.9841,1.186,497.5,508.8,2568.134172,0.2168,0.0544,0.9217,597.5,607.5,3539.09465,0.3014,0.0226
448,459.3,3227.737862,1.0048,1.2181,498,509.3,2587.429369,0.2171,0.0497,0.9211,598,608,3552.631579,0.2903,0.0292
448.5,459.8,3251.413658,1.0117,1.2431,498.5,509.8,2606.686718,0.2179,0.0441,0.9205,598.5,608.5,3566.146261,0.285,0.0319
449,460.3,3275.038019,1.0194,1.2641,499,510.3,2625.90633,0.2235,0.0419,0.9239,599,609,3579.638752,0.2756,0.0356
449.5,460.8,3298.611111,1.0183,1.2833,499.5,510.8,2645.088315,0.2311,0.0404,0.9288,599.5,609.5,3593.109106,0.2615,0.0353
450,461.3,3322.133102,1.0245,1.2743,500,511.3,2664.232784,0.2289,0.0237,0.9228,600,610,3606.557377,0.2506,0.0358
450.5,461.8,3345.604158,1.0402,1.2723,500.5,511.8,2683.339846,0.2284,0.0227,0.922,600.5,610.5,3619.98362,0.2438,0.0316
451,462.3,3369.024443,1.0515,1.2613,501,512.3,2702.409612,0.2241,0.0184,0.9192,601,611,3633.387889,0.2369,0.025
451.5,462.8,3392.394123,1.0585,1.2568,501.5,512.8,2721.442191,0.2229,0.0193,0.9164,601.5,611.5,3646.770237,0.2302,0.0198
452,463.3,3415.713361,1.0525,1.2624,502,513.3,2740.437691,0.2197,0.0248,0.9209,602,612,3660.130719,0.2227,0.0126
452.5,463.8,3438.98232,1.0466,1.2634,502.5,513.8,2759.39622,0.2181,0.0221,0.9219,602.5,612.5,3673.469388,0.22,0.0079
453,464.3,3462.201163,1.0443,1.249,503,514.3,2778.317886,0.2188,0.022,0.9251,603,613,3686.786297,0.2184,0.0088
453.5,464.8,3485.370052,1.03,1.2357,503.5,514.8,2797.202797,0.2196,0.022,0.927,603.5,613.5,3700.0815,0.2158,0.0061
454,465.3,3508.489147,1.0349,1.2178,504,515.3,2816.05106,0.2217,0.0294,0.9291,604,614,3713.355049,0.2126,0.008
454.5,465.8,3531.558609,1.023,1.2054,504.5,515.8,2834.862781,0.2269,0.032,0.9353,604.5,614.5,3726.606998,0.2132,0.0083
455,466.3,3554.578597,1.0134,1.2427,505,516.3,2853.638066,0.226,0.0427,0.9457,605,615,3739.837398,0.2166,0.0091
455.5,466.8,3577.549272,0.9954,1.2207,505.5,516.8,2872.377021,0.2266,0.0471,0.9567,605.5,615.5,3753.046304,0.2197,0.0085
456,467.3,3600.47079,0.9784,1.1776,506,517.3,2891.079752,0.228,0.0464,0.9631,606,616,3766.233766,0.2228,0.0068
456.5,467.8,3623.343309,0.9368,1.1261,506.5,517.8,2909.746363,0.2295,0.0513,0.9684,606.5,616.5,3779.399838,0.2231,0.0056
457,468.3,3646.166987,0.8968,1.0838,507,518.3,2928.376959,0.2286,0.0434,0.9826,607,617,3792.544571,0.2259,0.0039
457.5,468.8,3668.94198,0.8743,1.0133,507.5,518.8,2946.971644,0.2328,0.0403,0.9951,607.5,617.5,3805.668016,0.2257,0.0012
458,469.3,3691.668442,0.8485,0.8983,508,519.3,2965.530522,0.237,0.0358,1.0145,608,618,3818.770227,0.2298,8.00E-04
458.5,469.8,3714.34653,0.8249,0.799,508.5,519.8,2984.053696,0.2427,0.0307,1.0322,608.5,618.5,3831.851253,0.23,-6.00E-04
459,470.3,3736.976398,0.8232,0.7054,509,520.3,3002.541269,0.2452,0.034,1.0503,609,619,3844.911147,0.228,-6.00E-04
459.5,470.8,3759.558199,0.8025,0.6582,509.5,520.8,3020.993344,0.2461,0.045,1.0692,609.5,619.5,3857.94996,0.2295,0.0014
460,471.3,3782.092086,0.7862,0.6669,510,521.3,3039.410022,0.245,0.0625,1.0809,610,620,3870.967742,0.2316,0.003
460.5,471.8,3804.578211,0.7667,0.6061,510.5,521.8,3057.791406,0.2458,0.0738,1.1019,610.5,620.5,3883.964545,0.2308,0.0042
461,472.3,3827.016727,0.7523,0.5649,511,522.3,3076.137597,0.2477,0.0806,1.1268,611,621,3896.940419,0.2302,0.0052
461.5,472.8,3849.407783,0.7265,0.5413,511.5,522.8,3094.448695,0.2455,0.0829,1.154,611.5,621.5,3909.895414,0.2288,0.0057
462,473.3,3871.751532,0.7182,0.5486,512,523.3,3112.724802,0.2501,0.0734,1.1766,612,622,3922.829582,0.2267,0.0054
462.5,473.8,3894.048122,0.7137,0.5641,512.5,523.8,3130.966018,0.2522,0.0676,1.1993,612.5,622.5,3935.742972,0.2241,0.0045
463,474.3,3916.297702,0.7048,0.5376,513,524.3,3149.172442,0.2537,0.0625,1.2192,613,623,3948.635634,0.2248,0.0028
463.5,474.8,3938.500421,0.6971,0.5166,513.5,524.8,3167.344173,0.2591,0.0655,1.2379,613.5,623.5,3961.507618,0.2246,5.00E-04
464,475.3,3960.656428,0.6819,0.486,514,525.3,3185.481312,0.2633,0.08,1.261,614,624,3974.358974,0.223,-7.00E-04
464.5,475.8,3982.765868,0.6691,0.4741,514.5,525.8,3203.583957,0.264,0.1063,1.2868,614.5,624.5,3987.189752,0.2166,1.00E-04
465,476.3,4004.828889,0.6675,0.4614,515,526.3,3221.652205,0.2643,0.1489,1.3152,615,625,4000,0.2111,-9.00E-04
465.5,476.8,4026.845638,0.668,0.433,515.5,526.8,3239.686155,0.2639,0.1765,1.3361,615.5,625.5,4012.789768,0.2088,-1.00E-04
466,477.3,4048.816258,0.6584,0.4112,516,527.3,3257.685905,0.2623,0.2022,1.35,616,626,4025.559105,0.2063,0.0013
466.5,477.8,4070.740896,0.6485,0.3906,516.5,527.8,3275.651552,0.2558,0.2168,1.3626,616.5,626.5,4038.308061,0.2055,0.0024
467,478.3,4092.619695,0.642,0.4082,517,528.3,3293.583191,0.2606,0.2176,1.3755,617,627,4051.036683,0.2046,0.003
467.5,478.8,4114.452799,0.6381,0.4634,517.5,528.8,3311.480921,0.2601,0.2321,1.3843,617.5,627.5,4063.74502,0.1997,0.0033
468,479.3,4136.240351,0.628,0.4797,518,529.3,3329.344837,0.2589,0.2434,1.3895,618,628,4076.433121,0.1991,0.0032
468.5,479.8,4157.982493,0.6059,0.501,518.5,529.8,3347.175035,0.2651,0.2432,1.3868,618.5,628.5,4089.101034,0.1987,0.0027
