comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
389.5,400.5,3602.639558,3.3682,439.5,450.5,2802.441731,1.729,489.5,500.5,2242.202242,2.7607,539.5,550.5,1834.695731,1.9705
390,401,3633.772711,3.2646,440,451,2827.050998,1.7453,490,501,2262.142382,2.7481,540,551,1851.179673,1.9523
390.5,401.5,3664.828322,3.1344,440.5,451.5,2851.605759,1.7498,490.5,501.5,2282.042761,2.7329,540.5,551.5,1867.633726,1.9312
391,402,3695.806681,2.9172,441,452,2876.106195,1.7327,491,502,2301.903497,2.7262,541,552,1884.057971,1.9144
391.5,402.5,3726.708075,2.7818,441.5,452.5,2900.552486,1.7428,491.5,502.5,2321.72471,2.7113,541.5,552.5,1900.452489,1.9004
392,403,3757.53279,2.6839,442,453,2924.944812,1.7436,492,503,2341.506516,2.6972,542,553,1916.81736,1.8915
392.5,403.5,3788.281112,2.491,442.5,453.5,2949.283352,1.7452,492.5,503.5,2361.249035,2.6811,542.5,553.5,1933.152665,1.8819
393,404,3818.953324,2.2954,443,454,2973.568282,1.7735,493,504,2380.952381,2.6695,543,554,1949.458484,1.8703
393.5,404.5,3849.549709,2.2725,443.5,454.5,2997.79978,1.8332,493.5,504.5,2400.616672,2.6574,543.5,554.5,1965.734896,1.8623
394,405,3880.070547,2.1506,444,455,3021.978022,1.9015,494,505,2420.242024,2.6522,544,555,1981.981982,1.8521
394.5,405.5,3910.516118,2.089,444.5,455.5,3046.103183,1.9798,494.5,505.5,2439.828553,2.6431,544.5,555.5,1998.19982,1.8443
395,406,3940.8867,2.1085,445,456,3070.175439,2.047,495,506,2459.376372,2.6364,545,556,2014.388489,1.8354
395.5,406.5,3971.182569,2.0636,445.5,456.5,3094.194962,2.0786,495.5,506.5,2478.885598,2.6272,545.5,556.5,2030.548068,1.828
396,407,4001.404001,2.0151,446,457,3118.161926,2.0974,496,507,2498.356345,2.6159,546,557,2046.678636,1.8209
396.5,407.5,4031.551271,2.0907,446.5,457.5,3142.076503,2.1036,496.5,507.5,2517.788725,2.6057,546.5,557.5,2062.780269,1.814
397,408,4061.62465,2.1361,447,458,3165.938865,2.094,497,508,2537.182852,2.5948,547,558,2078.853047,1.8082
397.5,408.5,4091.62441,2.1496,447.5,458.5,3189.749182,2.0949,497.5,508.5,2556.53884,2.5865,547.5,558.5,2094.897046,1.8049
398,409,4121.550821,2.1303,448,459,3213.507625,2.114,498,509,2575.8568,2.5749,548,559,2110.912343,1.8002
398.5,409.5,4151.404151,2.1242,448.5,459.5,3237.214363,2.1309,498.5,509.5,2595.136844,2.5636,548.5,559.5,2126.899017,1.7922
399,410,4181.184669,2.1129,449,460,3260.869565,2.1537,499,510,2614.379085,2.5531,549,560,2142.857143,1.7822
399.5,410.5,4210.89264,2.1197,449.5,460.5,3284.473398,2.1761,499.5,510.5,2633.583633,2.5462,549.5,560.5,2158.786798,1.7713
400,411,4240.528328,2.1162,450,461,3308.02603,2.1874,500,511,2652.750598,2.5353,550,561,2174.688057,1.7619
400.5,411.5,4270.091998,2.0978,450.5,461.5,3331.527627,2.1911,500.5,511.5,2671.880091,2.525,550.5,561.5,2190.560997,1.7527
401,412,4299.583911,2.0899,451,462,3354.978355,2.2027,501,512,2690.972222,2.5189,551,562,2206.405694,1.7442
401.5,412.5,4329.004329,2.1206,451.5,462.5,3378.378378,2.1974,501.5,512.5,2710.0271,2.5103,551.5,562.5,2222.222222,1.7385
402,413,4358.353511,2.1318,452,463,3401.727862,2.1891,502,513,2729.044834,2.5086,552,563,2238.010657,1.7322
402.5,413.5,4387.631715,2.173,452.5,463.5,3425.026969,2.1972,502.5,513.5,2748.025533,2.507,552.5,563.5,2253.771074,1.7228
403,414,4416.839199,2.1623,453,464,3448.275862,2.1904,503,514,2766.969304,2.5055,553,564,2269.503546,1.7134
403.5,414.5,4445.976219,2.1634,453.5,464.5,3471.474704,2.1808,503.5,514.5,2785.876255,2.5064,553.5,564.5,2285.208149,1.709
404,415,4475.043029,2.1734,454,465,3494.623656,2.1709,504,515,2804.746494,2.5024,554,565,2300.884956,1.7015
404.5,415.5,4504.039883,2.1647,454.5,465.5,3517.722879,2.1417,504.5,515.5,2823.580127,2.5036,554.5,565.5,2316.534041,1.6928
405,416,4532.967033,2.1574,455,466,3540.772532,2.1134,505,516,2842.377261,2.5058,555,566,2332.155477,1.6817
405.5,416.5,4561.82473,2.1227,455.5,466.5,3563.772776,2.0851,505.5,516.5,2861.138002,2.5058,555.5,566.5,2347.749338,1.6731
406,417,4590.613224,2.1396,456,467,3586.723769,2.0358,506,517,2879.862454,2.5064,556,567,2363.315697,1.6662
406.5,417.5,4619.332763,2.1357,456.5,467.5,3609.625668,1.987,506.5,517.5,2898.550725,2.5092,556.5,567.5,2378.854626,1.6621
407,418,4647.983595,2.0764,457,468,3632.478632,1.9152,507,518,2917.202917,2.5123,557,568,2394.366197,1.6592
407.5,418.5,4676.565967,2.061,457.5,468.5,3655.282818,1.8839,507.5,518.5,2935.819136,2.5192,557.5,568.5,2409.850484,1.6545
408,419,4705.080123,2.0504,458,469,3678.03838,1.8559,508,519,2954.399486,2.5223,558,569,2425.307557,1.6446
408.5,419.5,4733.526307,2.0598,458.5,469.5,3700.745474,1.8188,508.5,519.5,2972.94407,2.5259,558.5,569.5,2440.737489,1.6344
409,420,4761.904762,2.0948,459,470,3723.404255,1.7783,509,520,2991.452991,2.5346,559,570,2456.140351,1.6255
409.5,420.5,4790.21573,2.1121,459.5,470.5,3746.014878,1.7253,509.5,520.5,3009.926353,2.5461,559.5,570.5,2471.516214,1.6188
410,421,4818.45945,2.1628,460,471,3768.577495,1.6656,510,521,3028.364257,2.5558,560,571,2486.865149,1.612
410.5,421.5,4846.636163,2.1821,460.5,471.5,3791.092259,1.6212,510.5,521.5,3046.766805,2.5684,560.5,571.5,2502.187227,1.6076
411,422,4874.746107,2.2122,461,472,3813.559322,1.5837,511,522,3065.1341,2.5822,561,572,2517.482517,1.6023
411.5,422.5,4902.789518,2.1439,461.5,472.5,3835.978836,1.5473,511.5,522.5,3083.466241,2.5994,561.5,572.5,2532.751092,1.6
412,423,4930.766633,2.1022,462,473,3858.350951,1.5055,512,523,3101.763331,2.6159,562,573,2547.993019,1.596
412.5,423.5,4958.677686,2.0865,462.5,473.5,3880.675818,1.506,512.5,523.5,3120.02547,2.6287,562.5,573.5,2563.20837,1.5935
413,424,4986.522911,2.0769,463,474,3902.953586,1.5166,513,524,3138.252757,2.6407,563,574,2578.397213,1.5916
