comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
374.5,385.5,2631.091347,0.6959,1.8390,424.5,435.5,2037.887486,0.1351,0.7568,474.5,485.5,1624.899874,0.6555,2.1698,524.5,535.5,1325.863679,0.2368,0.8808
375,386,2664.69282,0.7041,1.8860,425,436,2064.220183,0.1275,0.7819,475,486,1646.090535,0.6636,2.1662,525,536,1343.283582,0.235,0.8749
375.5,386.5,2698.207355,0.7132,1.9559,425.5,436.5,2090.492554,0.1274,0.8842,475.5,486.5,1667.237638,0.6524,2.1513,525.5,536.5,1360.671016,0.2298,0.8675
376,387,2731.63529,0.7324,2.0410,426,437,2116.704805,0.1138,0.803,476,487,1688.341319,0.6471,2.1457,526,537,1378.026071,0.22,0.8611
376.5,387.5,2764.976959,0.7456,2.0912,426.5,437.5,2142.857143,0.11,0.7092,476.5,487.5,1709.401709,0.6415,2.1268,526.5,537.5,1395.348837,0.2084,0.851
377,388,2798.232695,0.7004,2.1358,427,438,2168.949772,0.1298,0.681,477,488,1730.418944,0.6266,2.1108,527,538,1412.639405,0.1939,0.8441
377.5,388.5,2831.402831,0.7074,2.0956,427.5,438.5,2194.982896,0.1834,0.5022,477.5,488.5,1751.393154,0.6149,2.0909,527.5,538.5,1429.897864,0.1769,0.8352
378,389,2864.487697,0.8145,2.1270,428,439,2220.95672,0.2525,0.4826,478,489,1772.324472,0.6138,2.0753,528,539,1447.124304,0.1619,0.8234
378.5,389.5,2897.487621,0.8941,2.1720,428.5,439.5,2246.871445,0.3229,0.5199,478.5,489.5,1793.213029,0.6009,2.0412,528.5,539.5,1464.318814,0.1486,0.8113
379,390,2930.40293,0.9413,2.2047,429,440,2272.727273,0.3654,0.6089,479,490,1814.058957,0.5957,2.0096,529,540,1481.481481,0.1369,0.7988
379.5,390.5,2963.233949,1.0515,2.2650,429.5,440.5,2298.524404,0.3998,0.6006,479.5,490.5,1834.862385,0.5849,1.9872,529.5,540.5,1498.612396,0.1254,0.7862
380,391,2995.981001,1.2316,2.3219,430,441,2324.263039,0.4312,0.7512,480,491,1855.623444,0.5748,1.9654,530,541,1515.711645,0.1193,0.7767
380.5,391.5,3028.644408,1.4359,2.3692,430.5,441.5,2349.943375,0.417,0.8833,480.5,491.5,1876.342263,0.5603,1.93,530.5,541.5,1532.779317,0.1146,0.7648
381,392,3061.22449,1.6411,2.4046,431,442,2375.565611,0.3946,0.8127,481,492,1897.01897,0.555,1.9036,531,542,1549.815498,0.1119,0.7557
381.5,392.5,3093.721565,1.7946,2.5086,431.5,442.5,2401.129944,0.4379,0.7214,481.5,492.5,1917.653694,0.5423,1.8902,531.5,542.5,1566.820276,0.1123,0.7471
382,393,3126.135951,1.8987,2.4971,432,443,2426.636569,0.4022,0.7064,482,493,1938.246563,0.5361,1.8728,532,543,1583.793738,0.1144,0.7397
382.5,393.5,3158.467962,2.0568,2.6932,432.5,443.5,2452.085682,0.4431,0.5786,482.5,493.5,1958.797703,0.5275,1.8566,532.5,543.5,1600.735971,0.1169,0.7322
383,394,3190.717912,2.2005,2.9046,433,444,2477.477477,0.4971,0.5954,483,494,1979.307242,0.5173,1.8388,533,544,1617.647059,0.1202,0.725
383.5,394.5,3222.886113,2.2200,3.1460,433.5,444.5,2502.812148,0.4788,0.7015,483.5,494.5,1999.775306,0.5175,1.8181,533.5,544.5,1634.527089,0.1231,0.7167
384,395,3254.972875,2.2422,3.3824,434,445,2528.089888,0.4914,0.8265,484,495,2020.20202,0.5205,1.8078,534,545,1651.376147,0.1216,0.7097
384.5,395.5,3286.978508,2.3154,3.5974,434.5,445.5,2553.310887,0.4681,0.7552,484.5,495.5,2040.58751,0.5172,1.7837,534.5,545.5,1668.194317,0.1191,0.702
385,396,3318.903319,2.3076,3.7876,435,446,2578.475336,0.4542,0.8464,485,496,2060.9319,0.5218,1.7796,535,546,1684.981685,0.1149,0.6947
385.5,396.5,3350.747613,2.2791,3.7815,435.5,446.5,2603.583427,0.3865,0.9104,485.5,496.5,2081.235314,0.5139,1.7621,535.5,546.5,1701.738335,0.11,0.6888
386,397,3382.511695,2.2360,3.7651,436,447,2628.635347,0.4124,0.8264,486,497,2101.497876,0.5096,1.735,536,547,1718.464351,0.1041,0.6841
386.5,397.5,3414.195867,2.1749,3.7327,436.5,447.5,2653.631285,0.4214,0.8035,486.5,497.5,2121.71971,0.5052,1.7173,536.5,547.5,1735.159817,0.1025,0.6819
387,398,3445.800431,2.1438,3.5150,437,448,2678.571429,0.3829,0.8089,487,498,2141.900937,0.4989,1.697,537,548,1751.824818,0.1008,0.6837
387.5,398.5,3477.325686,2.1013,3.4822,437.5,448.5,2703.455964,0.3912,0.6752,487.5,498.5,2162.041681,0.4995,1.6824,537.5,548.5,1768.459435,0.1026,0.6859
388,399,3508.77193,2.0854,3.3656,438,449,2728.285078,0.3727,0.6247,488,499,2182.142062,0.4968,1.6646,538,549,1785.063752,0.1107,0.688
388.5,399.5,3540.13946,2.0890,3.2805,438.5,449.5,2753.058954,0.3194,0.6769,488.5,499.5,2202.202202,0.4932,1.6611,538.5,549.5,1801.637853,0.1198,0.6936
389,400,3571.428571,2.2104,3.1636,439,450,2777.777778,0.3495,0.6821,489,500,2222.222222,0.4885,1.6706,539,550,1818.181818,0.1302,0.7004
389.5,400.5,3602.639558,2.2154,3.0256,439.5,450.5,2802.441731,0.3171,0.6646,489.5,500.5,2242.202242,0.475,1.6686,539.5,550.5,1834.695731,0.1443,0.7044
390,401,3633.772711,2.1142,2.8680,440,451,2827.050998,0.3387,0.6625,490,501,2262.142382,0.4692,1.6684,540,551,1851.179673,0.1588,0.71
390.5,401.5,3664.828322,1.9457,2.6335,440.5,451.5,2851.605759,0.3163,0.6943,490.5,501.5,2282.042761,0.4593,1.6477,540.5,551.5,1867.633726,0.1702,0.7105
391,402,3695.806681,1.8247,2.5038,441,452,2876.106195,0.4079,0.6889,491,502,2301.903497,0.4617,1.6459,541,552,1884.057971,0.1825,0.7112
391.5,402.5,3726.708075,1.7674,2.3815,441.5,452.5,2900.552486,0.4293,0.7164,491.5,502.5,2321.72471,0.459,1.6468,541.5,552.5,1900.452489,0.192,0.7086
392,403,3757.53279,1.6808,2.2511,442,453,2924.944812,0.4586,0.7152,492,503,2341.506516,0.4599,1.6441,542,553,1916.81736,0.1988,0.7022
392.5,403.5,3788.281112,1.4365,2.2222,442.5,453.5,2949.283352,0.4359,0.7623,492.5,503.5,2361.249035,0.4498,1.6396,542.5,553.5,1933.152665,0.2032,0.6949
393,404,3818.953324,1.2924,2.1655,443,454,2973.568282,0.4498,0.8372,493,504,2380.952381,0.4561,1.6339,543,554,1949.458484,0.2061,0.6868
393.5,404.5,3849.549709,1.1723,2.1326,443.5,454.5,2997.79978,0.4236,0.9528,493.5,504.5,2400.616672,0.4524,1.6256,543.5,554.5,1965.734896,0.2057,0.6765
394,405,3880.070547,1.0916,2.0834,444,455,3021.978022,0.399,1.1004,494,505,2420.242024,0.45,1.6237,544,555,1981.981982,0.2014,0.6648
394.5,405.5,3910.516118,0.9393,2.0447,444.5,455.5,3046.103183,0.3623,1.1686,494.5,505.5,2439.828553,0.4447,1.6203,544.5,555.5,1998.19982,0.1942,0.6512
395,406,3940.8867,0.8266,1.9785,445,456,3070.175439,0.4231,1.1692,495,506,2459.376372,0.4482,1.6201,545,556,2014.388489,0.188,0.6373
395.5,406.5,3971.182569,0.7268,1.9324,445.5,456.5,3094.194962,0.4518,1.2374,495.5,506.5,2478.885598,0.4505,1.6168,545.5,556.5,2030.548068,0.1812,0.6264
396,407,4001.404001,0.7140,1.9194,446,457,3118.161926,0.5978,1.2369,496,507,2498.356345,0.4519,1.5962,546,557,2046.678636,0.173,0.6164
396.5,407.5,4031.551271,0.7216,1.9671,446.5,457.5,3142.076503,0.7361,1.2231,496.5,507.5,2517.788725,0.4413,1.5856,546.5,557.5,2062.780269,0.1658,0.6093
397,408,4061.62465,0.6854,2.0128,447,458,3165.938865,0.8557,1.181,497,508,2537.182852,0.4449,1.5729,547,558,2078.853047,0.1581,0.6038
397.5,408.5,4091.62441,0.5471,2.1110,447.5,458.5,3189.749182,0.9489,1.3155,497.5,508.5,2556.53884,0.4404,1.5709,547.5,558.5,2094.897046,0.1533,0.6
398,409,4121.550821,0.6464,2.0936,448,459,3213.507625,1.1213,1.3867,498,509,2575.8568,0.4359,1.5716,548,559,2110.912343,0.1492,0.5953
398.5,409.5,4151.404151,0.7002,2.0909,448.5,459.5,3237.214363,1.1438,1.4724,498.5,509.5,2595.136844,0.4379,1.5866,548.5,559.5,2126.899017,0.1458,0.5925
399,410,4181.184669,0.7721,2.1090,449,460,3260.869565,1.1832,1.5063,499,510,2614.379085,0.4317,1.5846,549,560,2142.857143,0.1445,0.5896
399.5,410.5,4210.89264,0.7957,2.1686,449.5,460.5,3284.473398,1.1878,1.4792,499.5,510.5,2633.583633,0.4356,1.5656,549.5,560.5,2158.786798,0.1427,0.5844
400,411,4240.528328,0.8239,2.1232,450,461,3308.02603,1.2048,1.5093,500,511,2652.750598,0.4298,1.5641,550,561,2174.688057,0.1413,0.5823
400.5,411.5,4270.091998,0.8463,2.1091,450.5,461.5,3331.527627,1.2136,1.5957,500.5,511.5,2671.880091,0.4377,1.5316,550.5,561.5,2190.560997,0.1396,0.5762
401,412,4299.583911,0.8001,2.0800,451,462,3354.978355,1.2147,1.5812,501,512,2690.972222,0.4492,1.5513,551,562,2206.405694,0.1386,0.5721
401.5,412.5,4329.004329,0.7374,2.0842,451.5,462.5,3378.378378,1.2292,1.6203,501.5,512.5,2710.0271,0.4507,1.545,551.5,562.5,2222.222222,0.1375,0.5681
402,413,4358.353511,0.7127,2.0660,452,463,3401.727862,1.1154,1.5526,502,513,2729.044834,0.4535,1.5353,552,563,2238.010657,0.1375,0.5637
402.5,413.5,4387.631715,0.6638,2.0883,452.5,463.5,3425.026969,1.1766,1.6001,502.5,513.5,2748.025533,0.4596,1.5262,552.5,563.5,2253.771074,0.1362,0.5609
403,414,4416.839199,0.6945,2.0651,453,464,3448.275862,1.1538,1.5998,503,514,2766.969304,0.4725,1.5274,553,564,2269.503546,0.1352,0.5587
403.5,414.5,4445.976219,0.6925,2.0820,453.5,464.5,3471.474704,1.0508,1.5472,503.5,514.5,2785.876255,0.4718,1.5254,553.5,564.5,2285.208149,0.1331,0.5568
404,415,4475.043029,0.7889,2.1310,454,465,3494.623656,1.0132,1.4766,504,515,2804.746494,0.4723,1.5341,554,565,2300.884956,0.1295,0.5557
404.5,415.5,4504.039883,0.8617,2.2598,454.5,465.5,3517.722879,1.0159,1.4071,504.5,515.5,2823.580127,0.4904,1.5375,554.5,565.5,2316.534041,0.1276,0.5537
405,416,4532.967033,0.8713,2.1662,455,466,3540.772532,0.9214,1.3852,505,516,2842.377261,0.5134,1.5279,555,566,2332.155477,0.127,0.5522
