WL [nm],Int(Result.Sample 1)
573.5,42.1894
574,36.4325
574.5,30.911
575,25.7692
575.5,20.8929
576,16.6169
576.5,12.8275
577,9.57
577.5,7.0603
578,5.0104
578.5,3.5753
579,2.328
579.5,1.2936
580,0.7221
580.5,0.4707
581,0.5366
581.5,0.6048
582,0.7325
582.5,0.745
583,0.824
583.5,0.9202
584,0.9704
584.5,1.0097
585,1.0182
585.5,1.0282
586,1.0354
586.5,1.0319
587,1.0281
587.5,1.0564
588,1.0736
588.5,1.0907
589,1.102
589.5,1.123
590,1.1373
590.5,1.1513
591,1.1849
591.5,1.2133
592,1.2565
592.5,1.2833
593,1.3205
593.5,1.3364
594,1.3479
594.5,1.3739
595,1.3822
595.5,1.3594
596,1.3446
596.5,1.3384
597,1.3274
597.5,1.305
598,1.262
598.5,1.2209
599,1.2002
599.5,1.1424
600,1.036
