(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
374.5,385.5,2631.091347,0.3063,1.3777,424.5,435.5,2037.887486,0.1771,0.871,474.5,485.5,1624.899874,0.8458,1.712,524.5,535.5,1325.863679,0.31,0.8205
375,386,2664.69282,0.2767,1.3712,425,436,2064.220183,0.2244,0.8283,475,486,1646.090535,0.8497,1.6798,525,536,1343.283582,0.3013,0.8149
375.5,386.5,2698.207355,0.2461,1.3895,425.5,436.5,2090.492554,0.2628,0.8349,475.5,486.5,1667.237638,0.8508,1.6599,525.5,536.5,1360.671016,0.2933,0.8069
376,387,2731.63529,0.2485,1.3813,426,437,2116.704805,0.2438,0.8698,476,487,1688.341319,0.841,1.6425,526,537,1378.026071,0.2888,0.7975
376.5,387.5,2764.976959,0.3191,1.3887,426.5,437.5,2142.857143,0.2119,0.8492,476.5,487.5,1709.401709,0.8344,1.6322,526.5,537.5,1395.348837,0.2843,0.787
377,388,2798.232695,0.3293,1.4801,427,438,2168.949772,0.2412,0.8574,477,488,1730.418944,0.828,1.6198,527,538,1412.639405,0.2816,0.7758
377.5,388.5,2831.402831,0.4344,1.4471,427.5,438.5,2194.982896,0.255,0.8093,477.5,488.5,1751.393154,0.8214,1.5986,527.5,538.5,1429.897864,0.2821,0.7592
378,389,2864.487697,0.5535,1.485,428,439,2220.95672,0.2334,0.7929,478,489,1772.324472,0.8157,1.5702,528,539,1447.124304,0.2828,0.7441
378.5,389.5,2897.487621,0.7238,1.4832,428.5,439.5,2246.871445,0.2212,0.8109,478.5,489.5,1793.213029,0.7986,1.5523,528.5,539.5,1464.318814,0.2915,0.7303
379,390,2930.40293,0.9064,1.5263,429,440,2272.727273,0.2528,0.7804,479,490,1814.058957,0.7806,1.5371,529,540,1481.481481,0.2976,0.7163
379.5,390.5,2963.233949,1.0756,1.5514,429.5,440.5,2298.524404,0.2908,0.8109,479.5,490.5,1834.862385,0.7617,1.5396,529.5,540.5,1498.612396,0.3019,0.7009
380,391,2995.981001,1.2352,1.6155,430,441,2324.263039,0.2796,0.782,480,491,1855.623444,0.7491,1.5236,530,541,1515.711645,0.3053,0.6866
380.5,391.5,3028.644408,1.3277,1.6671,430.5,441.5,2349.943375,0.2392,0.7936,480.5,491.5,1876.342263,0.738,1.5126,530.5,541.5,1532.779317,0.3099,0.6735
381,392,3061.22449,1.3894,1.8038,431,442,2375.565611,0.1448,0.8232,481,492,1897.01897,0.7262,1.5059,531,542,1549.815498,0.3105,0.6615
381.5,392.5,3093.721565,1.5003,1.9686,431.5,442.5,2401.129944,0.1239,0.8269,481.5,492.5,1917.653694,0.7161,1.4881,531.5,542.5,1566.820276,0.3132,0.6514
382,393,3126.135951,1.5335,2.2338,432,443,2426.636569,0.165,0.8054,482,493,1938.246563,0.7099,1.4737,532,543,1583.793738,0.3152,0.6423
382.5,393.5,3158.467962,1.5839,2.4237,432.5,443.5,2452.085682,0.2016,0.7106,482.5,493.5,1958.797703,0.7008,1.4597,532.5,543.5,1600.735971,0.3152,0.6348
383,394,3190.717912,1.7041,2.6608,433,444,2477.477477,0.212,0.7258,483,494,1979.307242,0.6841,1.4492,533,544,1617.647059,0.3154,0.632
383.5,394.5,3222.886113,1.8352,2.8303,433.5,444.5,2502.812148,0.2138,0.7972,483.5,494.5,1999.775306,0.6826,1.4372,533.5,544.5,1634.527089,0.3134,0.6311
384,395,3254.972875,1.9373,2.9536,434,445,2528.089888,0.2039,0.8198,484,495,2020.20202,0.6794,1.4298,534,545,1651.376147,0.3102,0.631
384.5,395.5,3286.978508,1.9792,2.9034,434.5,445.5,2553.310887,0.2154,0.8585,484.5,495.5,2040.58751,0.6695,1.4086,534.5,545.5,1668.194317,0.3072,0.631
385,396,3318.903319,2.0267,2.8827,435,446,2578.475336,0.2058,0.8231,485,496,2060.9319,0.669,1.3975,535,546,1684.981685,0.3039,0.6333
385.5,396.5,3350.747613,2.0532,2.8135,435.5,446.5,2603.583427,0.1794,0.8366,485.5,496.5,2081.235314,0.6615,1.3895,535.5,546.5,1701.738335,0.2989,0.6368
386,397,3382.511695,2.0339,2.7879,436,447,2628.635347,0.1238,0.8136,486,497,2101.497876,0.6537,1.3824,536,547,1718.464351,0.2947,0.64
386.5,397.5,3414.195867,2.0043,2.6676,436.5,447.5,2653.631285,0.1328,0.7943,486.5,497.5,2121.71971,0.6525,1.3693,536.5,547.5,1735.159817,0.2876,0.6465
387,398,3445.800431,1.9335,2.7208,437,448,2678.571429,0.1361,0.8152,487,498,2141.900937,0.646,1.346,537,548,1751.824818,0.2807,0.6529
387.5,398.5,3477.325686,1.8233,2.5716,437.5,448.5,2703.455964,0.1636,0.862,487.5,498.5,2162.041681,0.6381,1.3376,537.5,548.5,1768.459435,0.2707,0.6559
388,399,3508.77193,1.7776,2.6005,438,449,2728.285078,0.1905,0.9317,488,499,2182.142062,0.6305,1.3263,538,549,1785.063752,0.2627,0.6616
388.5,399.5,3540.13946,1.6587,2.5552,438.5,449.5,2753.058954,0.2078,0.9846,488.5,499.5,2202.202202,0.6214,1.3205,538.5,549.5,1801.637853,0.2585,0.6651
389,400,3571.428571,1.5398,2.4583,439,450,2777.777778,0.1995,1.0109,489,500,2222.222222,0.6184,1.3057,539,550,1818.181818,0.2469,0.6655
389.5,400.5,3602.639558,1.4811,2.2205,439.5,450.5,2802.441731,0.1633,0.9886,489.5,500.5,2242.202242,0.622,1.3,539.5,550.5,1834.695731,0.2379,0.663
390,401,3633.772711,1.4899,2.1365,440,451,2827.050998,0.2176,0.8785,490,501,2262.142382,0.627,1.2823,540,551,1851.179673,0.2285,0.66
390.5,401.5,3664.828322,1.5401,2.0226,440.5,451.5,2851.605759,0.2589,0.8859,490.5,501.5,2282.042761,0.6271,1.2665,540.5,551.5,1867.633726,0.2189,0.6549
391,402,3695.806681,1.5126,1.9022,441,452,2876.106195,0.234,0.8769,491,502,2301.903497,0.6213,1.2537,541,552,1884.057971,0.2121,0.6469
391.5,402.5,3726.708075,1.5216,1.7572,441.5,452.5,2900.552486,0.2654,0.8515,491.5,502.5,2321.72471,0.6169,1.2353,541.5,552.5,1900.452489,0.2086,0.6377
392,403,3757.53279,1.4903,1.7008,442,453,2924.944812,0.2821,0.8845,492,503,2341.506516,0.6173,1.2324,542,553,1916.81736,0.204,0.6259
392.5,403.5,3788.281112,1.4571,1.5244,442.5,453.5,2949.283352,0.3244,0.9608,492.5,503.5,2361.249035,0.6132,1.2298,542.5,553.5,1933.152665,0.2005,0.616
393,404,3818.953324,1.2856,1.5637,443,454,2973.568282,0.3913,1.0134,493,504,2380.952381,0.6108,1.2295,543,554,1949.458484,0.1989,0.6055
393.5,404.5,3849.549709,1.1286,1.5531,443.5,454.5,2997.79978,0.445,1.062,493.5,504.5,2400.616672,0.611,1.2329,543.5,554.5,1965.734896,0.2002,0.5931
394,405,3880.070547,0.9545,1.5323,444,455,3021.978022,0.4874,1.1115,494,505,2420.242024,0.6066,1.2377,544,555,1981.981982,0.2016,0.5823
394.5,405.5,3910.516118,0.7798,1.4724,444.5,455.5,3046.103183,0.5577,1.1673,494.5,505.5,2439.828553,0.602,1.219,544.5,555.5,1998.19982,0.2031,0.5734
395,406,3940.8867,0.6535,1.5485,445,456,3070.175439,0.6805,1.1691,495,506,2459.376372,0.6003,1.2134,545,556,2014.388489,0.2063,0.5654
395.5,406.5,3971.182569,0.5219,1.5851,445.5,456.5,3094.194962,0.7621,1.2325,495.5,506.5,2478.885598,0.6021,1.2088,545.5,556.5,2030.548068,0.2107,0.558
396,407,4001.404001,0.4127,1.5259,446,457,3118.161926,0.831,1.2635,496,507,2498.356345,0.6057,1.2165,546,557,2046.678636,0.216,0.5537
396.5,407.5,4031.551271,0.4463,1.4768,446.5,457.5,3142.076503,0.9382,1.2122,496.5,507.5,2517.788725,0.6057,1.2193,546.5,557.5,2062.780269,0.2215,0.5496
397,408,4061.62465,0.4705,1.4206,447,458,3165.938865,0.9811,1.1778,497,508,2537.182852,0.6041,1.2152,547,558,2078.853047,0.2267,0.5452
