(2)comp,(2)10-5,(2)5-5,(3comp,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)10-10,(4)10-5
468.5,0.6059,0.501,518.5,0.2651,0.2432,1.3868,618.5,0.1987,0.0027
469,0.5943,0.5058,519,0.2702,0.2352,1.3825,619,0.1963,0.0018
469.5,0.5901,0.546,519.5,0.2728,0.2652,1.372,619.5,0.1974,3.00E-04
470,0.5889,0.5361,520,0.2732,0.2922,1.3654,620,0.195,-0.001
470.5,0.5866,0.5181,520.5,0.2728,0.2739,1.3603,620.5,0.1928,-2.00E-04
471,0.5841,0.495,521,0.2703,0.2703,1.3577,621,0.1935,1.00E-04
471.5,0.5835,0.4431,521.5,0.2651,0.263,1.3487,621.5,0.1951,0.0011
472,0.5872,0.4374,522,0.2646,0.2651,1.3306,622,0.1975,0.0017
472.5,0.5748,0.4234,522.5,0.2584,0.2572,1.3111,622.5,0.1995,0.0013
473,0.5643,0.4132,523,0.2535,0.2297,1.2906,623,0.2015,0.0032
473.5,0.5512,0.4052,523.5,0.2587,0.2067,1.273,623.5,0.2012,0.0044
474,0.5474,0.4081,524,0.2686,0.1844,1.2532,624,0.2016,0.0044
474.5,0.5405,0.4307,524.5,0.2753,0.17,1.229,624.5,0.1957,0.0047
475,0.5512,0.4333,525,0.2778,0.1377,1.2079,625,0.196,0.0049
475.5,0.5607,0.4515,525.5,0.2793,0.1108,1.1768,625.5,0.1994,0.0042
476,0.5701,0.4579,526,0.2776,0.0968,1.1476,626,0.2026,0.0033
476.5,0.583,0.458,526.5,0.2731,0.1091,1.1225,626.5,0.2038,0.0027
477,0.5897,0.4861,527,0.2689,0.1318,1.0971,627,0.203,0.001
477.5,0.5731,0.4786,527.5,0.2574,0.1203,1.0777,627.5,0.2054,-1.00E-04
478,0.5658,0.4991,528,0.2503,0.1276,1.0487,628,0.2102,9.00E-04
478.5,0.5512,0.4926,528.5,0.2471,0.1505,1.023,628.5,0.2136,4.00E-04
479,0.5455,0.4891,529,0.2476,0.1601,0.9961,629,0.2119,-1.00E-04
479.5,0.5401,0.4872,529.5,0.2401,0.1576,0.9736,629.5,0.2143,9.00E-04
480,0.5429,0.5147,530,0.2378,0.1287,0.9592,630,0.2134,0.0012
480.5,0.5432,0.501,530.5,0.2318,0.1153,0.9385,630.5,0.2155,0.0012
481,0.53,0.4686,531,0.2211,0.1041,0.9228,631,0.2186,0.001
481.5,0.5207,0.4717,531.5,0.2116,0.1209,0.9037,631.5,0.2232,8.00E-04
482,0.511,0.4483,532,0.2011,0.1244,0.881,632,0.2249,0.0015
482.5,0.4981,0.4418,532.5,0.1883,0.111,0.8597,632.5,0.2267,0.0021
483,0.496,0.4304,533,0.1799,0.1416,0.843,633,0.2272,0.0022
483.5,0.4995,0.3941,533.5,0.1795,0.1509,0.8253,633.5,0.2256,0.003
484,0.5026,0.3815,534,0.1777,0.1544,0.8116,634,0.2258,0.0024
484.5,0.5033,0.3898,534.5,0.1805,0.1459,0.7899,634.5,0.2227,0.0044
485,0.5115,0.4053,535,0.1837,0.1206,0.7751,635,0.2235,0.0053
485.5,0.5096,0.3764,535.5,0.1884,0.1163,0.756,635.5,0.2246,0.0053
486,0.4919,0.373,536,0.1948,0.1239,0.7367,636,0.2258,0.0045
486.5,0.4689,0.3915,536.5,0.1994,0.1327,0.7147,636.5,0.2269,0.0028
487,0.4692,0.3955,537,0.2049,0.12,0.7011,637,0.2283,0.003
487.5,0.4519,0.4122,537.5,0.204,0.1101,0.6879,637.5,0.2305,0.0047
488,0.4495,0.3803,538,0.2007,0.1072,0.6722,638,0.2334,0.0058
488.5,0.4473,0.3638,538.5,0.1966,0.073,0.6632,638.5,0.2346,0.0065
489,0.4368,0.3621,539,0.1868,0.0568,0.651,639,0.2313,0.0047
489.5,0.4238,0.3814,539.5,0.1772,0.0324,0.6393,639.5,0.2307,0.0071
490,0.439,0.3859,540,0.166,0.0376,0.633,640,0.2342,0.0077
490.5,0.4367,0.3656,540.5,0.1651,0.0367,0.6241,640.5,0.2349,0.0071
491,0.4334,0.3528,541,0.1663,0.041,0.6169,641,0.2345,0.0055
491.5,0.4371,0.3285,541.5,0.1669,0.0429,0.613,641.5,0.2352,0.0029
492,0.4514,0.2963,542,0.1674,0.0354,0.6108,642,0.2366,0.0028
492.5,0.4433,0.2432,542.5,0.1609,0.031,0.6127,642.5,0.2383,0.0028
493,0.4488,0.2097,543,0.1572,0.0194,0.6154,643,0.2383,0.0028
493.5,0.4403,0.206,543.5,0.1495,0.0142,0.6202,643.5,0.2383,0.0025
494,0.4316,0.245,544,0.1423,0.0087,0.6239,644,0.2388,0.0023
494.5,0.4231,0.2827,544.5,0.1286,-1.00E-04,0.6109,644.5,0.24,0.0024
495,0.4319,0.3152,545,0.1289,0.0172,0.6179,645,0.2412,0.0042
495.5,0.4226,0.3142,545.5,0.128,0.0225,0.6055,645.5,0.242,0.0054
496,0.4152,0.29,546,0.1314,0.0257,0.6019,646,0.2414,0.0061
496.5,0.4134,0.2544,546.5,0.1305,0.0284,0.5983,646.5,0.2408,0.0048
497,0.4058,0.2261,547,0.1316,0.029,0.5972,647,0.2409,0.0055
497.5,0.3922,0.1863,547.5,0.131,0.0284,0.5907,647.5,0.2382,0.0047
498,0.385,0.1954,548,0.1345,0.0248,0.5874,648,0.2386,0.0048
498.5,0.3783,0.2017,548.5,0.1358,0.0199,0.5754,648.5,0.2324,0.0044
499,0.3799,0.2241,549,0.1339,0.0167,0.5708,649,0.2279,0.0033
499.5,0.3789,0.2334,549.5,0.1396,0.0157,0.5766,649.5,0.2293,0.0039
500,0.385,0.258,550,0.154,0.032,0.482,650,0.218,0
