comp,int
580,2.2296
580.5,2.289
581,2.1122
581.5,2.2309
582,1.9215
582.5,1.767
583,1.8339
583.5,1.7497
584,1.4974
584.5,0.7042
585,0.514
585.5,0.8102
586,1.1251
586.5,0.6619
587,0.2685
587.5,0.2231
588,0.3082
588.5,0.2335
589,0.3403
589.5,0.4672
590,0.6462
590.5,0.397
591,0.4159
591.5,0.7508
592,1.2996
592.5,1.888
593,2.6909
593.5,3.2288
594,3.3393
594.5,2.9445
595,2.4371
595.5,2.1125
596,1.9836
596.5,1.6561
597,1.343
597.5,1.0975
598,0.9547
598.5,1.0577
599,0.7387
599.5,0.4565
600,0.3992
600.5,0.5803
601,0.3683
601.5,0.397
602,0.6629
602.5,0.8519
603,0.8195
603.5,0.4668
604,0.3014
604.5,0.2315
605,0.7389
605.5,0.9184
606,0.7114
606.5,0.4215
607,1.1448
607.5,1.3399
608,0.9739
608.5,0.3485
609,0.7209
609.5,0.92
610,0.9435
610.5,0.4792
611,0.5379
611.5,0.8357
612,1.0897
612.5,1.9536
613,3.5874
613.5,5.0183
614,7.6082
614.5,12.1107
615,18.6848
615.5,25.4595
616,31.3493
616.5,34.3621
617,33.7715
617.5,29.582
618,22.7194
618.5,14.6427
619,8.8348
619.5,5.3338
620,3.3029
620.5,1.4213
621,0.5505
621.5,0.1989
622,-0.0161
622.5,0.391
623,0.5182
623.5,0.2966
624,-0.016
624.5,0.021
625,0.0903
625.5,0.1042
626,-0.0175
626.5,0.4832
627,0.5862
627.5,0.3689
628,0.859
628.5,1.6196
629,1.1845
629.5,0.336
630,0.5597
630.5,1.4338
631,1.6735
631.5,2.0539
632,1.5658
632.5,1.1736
633,1.1542
633.5,1.3992
634,1.0432
634.5,0.3469
635,0.2086
635.5,-0.0185
636,0.2695
636.5,0.4527
637,0.2728
637.5,0.2766
638,0.7035
638.5,0.9537
639,0.9423
639.5,0.6876
640,0.2784
640.5,-0.1511
641,0.2493
641.5,0.379
642,0.3347
642.5,0.3229
643,0.5032
643.5,0.333
644,-0.0221
644.5,0.2865
645,0.8107
645.5,1.1071
646,0.6204
646.5,0.7696
647,0.6806
647.5,0.606
648,0.4604
648.5,0.6584
649,0.6496
649.5,0.9648
650,1.4451
650.5,0.9525
651,0.2638
651.5,0.3985
652,0.7017
652.5,0.4888
653,-0.0785
653.5,0.5459
654,0.6082
654.5,1.0502
655,1.1321
655.5,1.4937
656,1.6013
656.5,3.0717
657,4.9452
657.5,6.125
658,7.0316
658.5,8.3048
659,8.5327
659.5,8.2073
660,7.2646
660.5,6.5642
661,5.1245
661.5,4.1713
662,3.0271
662.5,2.1665
663,2.0334
663.5,2.9015
664,3.5342
664.5,3.5293
665,2.9454
665.5,2.7771
666,2.3331
666.5,2.2852
667,2.4477
667.5,2.4055
668,1.3565
668.5,0.6162
669,0.818
669.5,1.295
670,1.3076
670.5,1.0831
671,0.8223
671.5,0.6474
672,0.4503
672.5,0.9218
673,1.3415
673.5,0.8822
674,0.4374
674.5,0.5581
675,0.988
675.5,1.5428
676,2.2551
676.5,2.8034
677,3.1079
677.5,3.5195
678,3.5377
678.5,3.6262
679,3.7033
679.5,4.0054
680,3.9909
680.5,3.6817
681,3.3687
681.5,3.753
682,4.0448
682.5,4.3667
683,5.4476
683.5,7.7685
684,12.8028
684.5,21.0524
685,31.7113
685.5,40.8844
686,45.6679
686.5,45.1867
687,42.1375
687.5,38.9551
688,35.6409
688.5,31.1123
689,24.3964
689.5,15.9523
690,9.2246
690.5,5.5617
691,4.0915
691.5,2.7007
692,2.5423
692.5,2.96
693,3.9508
693.5,4.9807
694,8.9617
694.5,16.3862
695,26.5022
695.5,34.2832
696,37.6897
696.5,36.4357
697,34.4985
697.5,32.5427
698,30.4601
698.5,28.3952
699,24.9606
699.5,18.7587
700,11.637
