comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
388.5,20.5712,6.5321,27.1722,9.5961
389,20.6728,6.6099,27.1347,9.5636
389.5,20.7925,6.6549,27.1032,9.5504
390,20.925,6.713,27.0136,9.5646
390.5,20.9772,6.7681,26.9819,9.5754
391,20.9481,6.7631,26.8746,9.5906
391.5,20.9964,6.7714,26.712,9.644
392,21.0646,6.7077,26.7228,9.6684
392.5,21.026,6.7445,26.613,9.6972
393,20.9078,6.7303,26.5211,9.6746
393.5,20.8409,6.6958,26.4233,9.677
394,20.8069,6.7197,26.2723,9.6564
394.5,20.8223,6.841,26.1131,9.6136
395,20.7054,6.769,25.9808,9.5399
395.5,20.56,6.6974,25.8683,9.4797
396,20.4217,6.6225,25.6798,9.4595
396.5,20.3559,6.5204,25.4912,9.4719
397,20.1203,6.4287,25.3803,9.5181
397.5,20.1967,6.4326,25.1412,9.5097
398,20.0564,6.4182,24.9135,9.5186
398.5,20.0729,6.4359,24.6659,9.4875
399,20.024,6.4165,24.4918,9.5202
399.5,20.053,6.3626,24.3138,9.5591
400,19.9424,6.3434,24.1512,9.6279
400.5,19.7871,6.3049,24.0044,9.7076
401,19.6667,6.2003,23.8459,9.7194
401.5,19.5492,6.1295,23.5721,9.768
402,19.3411,6.0887,23.4302,9.7904
402.5,19.2322,6.1859,23.2519,9.8424
403,19.1825,6.1493,23.0984,9.8136
403.5,19.0546,6.1901,22.9447,9.8216
404,18.8269,6.2096,22.7607,9.8183
404.5,18.7405,6.1743,22.6405,9.81
405,18.5904,6.1011,22.4372,9.8068
405.5,18.51,6.0838,22.2416,9.8191
406,18.4107,6.0891,22.0926,9.8238
406.5,18.262,6.0673,21.9448,9.8388
407,18.0389,6.0653,21.77,9.8329
407.5,18.0271,6.0034,21.5519,9.8056
408,17.9677,5.9172,21.3644,9.8007
408.5,17.9736,5.9175,21.1937,9.7856
409,17.9403,5.9016,21.0531,9.7957
409.5,17.9825,5.9135,20.8909,9.8163
410,17.8597,5.8763,20.7246,9.8258
410.5,17.6966,5.8357,20.6128,9.8206
411,17.5529,5.7712,20.4548,9.8147
411.5,17.5148,5.7353,20.2903,9.8359
412,17.5164,5.7347,20.1913,9.8924
