comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
361.5,372.5,1725.790988,0.3400719682,0.8349982442,411.5,422.5,1331.360947,0.5476296094,0.6322688353,461.5,472.5,1058.201058,0.7453995344,2.645362616,511.5,522.5,861.2440191,94.59333424,670.3510771
362,373,1761.777097,0.3402727519,0.8356885281,412,423,1359.338061,0.5488484428,0.6324625923,462,473,1080.573174,0.7456556124,2.651642487,512,523,879.541109,95.51677013,676.9868711
362.5,373.5,1797.666858,0.3404735356,0.8363788119,412.5,423.5,1387.249115,0.5500672763,0.6326563492,462.5,473.5,1102.898041,0.7459116904,2.657922358,512.5,523.5,897.8032474,96.44020603,683.6226651
363,374,1833.460657,0.3406743192,0.8370690957,413,424,1415.09434,0.5512861098,0.6328501062,463,474,1125.175809,0.7461677684,2.664202229,513,524,916.0305344,97.36364192,690.2584591
363.5,374.5,1869.158879,0.3408751029,0.8377593795,413.5,424.5,1442.873969,0.5525049433,0.6330438632,463.5,474.5,1147.406627,0.7464238464,2.6704821,513.5,524.5,934.2230696,98.28707782,696.8942531
364,375,1904.761905,0.3410758866,0.8384496634,414,425,1470.588235,0.5537237768,0.6332376202,464,475,1169.590643,0.7466799244,2.676761971,514,525,952.3809524,99.21051371,703.5300471
364.5,375.5,1940.270116,0.3412766703,0.8391399472,414.5,425.5,1498.237368,0.5549426103,0.6334313771,464.5,475.5,1191.728006,0.7469360024,2.683041842,514.5,525.5,970.5042816,100.1339496,710.1658411
365,376,1975.683891,0.3414774539,0.839830231,415,426,1525.821596,0.5561614437,0.6336251341,465,476,1213.818861,0.7471920804,2.689321713,515,526,988.5931559,101.0573855,716.8016351
365.5,376.5,2011.003605,0.3416782376,0.8405205149,415.5,426.5,1553.341149,0.5573802772,0.6338188911,465.5,476.5,1235.863355,0.7474481584,2.695601584,515.5,526.5,1006.647673,101.9808214,723.4374291
366,377,2046.229632,0.3418790213,0.8412107987,416,427,1580.796253,0.5585991107,0.6340126481,466,477,1257.861635,0.7477042364,2.701881455,516,527,1024.667932,102.9042573,730.0732231
366.5,377.5,2081.362346,0.342079805,0.8419010825,416.5,427.5,1608.187135,0.5598179442,0.634206405,466.5,477.5,1279.813845,0.7479603144,2.708161326,516.5,527.5,1042.654028,103.8276932,736.7090172
367,378,2116.402116,0.3422805887,0.8425913663,417,428,1635.514019,0.5610367777,0.634400162,467,478,1301.72013,0.7482163924,2.714441197,517,528,1060.606061,104.7511291,743.3448112
367.5,378.5,2151.349311,0.3424813723,0.8432816502,417.5,428.5,1662.77713,0.5622556112,0.634593919,467.5,478.5,1323.580634,0.7484724704,2.720721068,517.5,528.5,1078.524125,105.674565,749.9806052
368,379,2186.204297,0.342682156,0.843971934,418,429,1689.97669,0.5634744446,0.634787676,468,479,1345.3955,0.7487285485,2.727000939,518,529,1096.408318,106.5980009,756.6163992
368.5,379.5,2220.967438,0.3428829397,0.8446622178,418.5,429.5,1717.112922,0.5646932781,0.6349814329,468.5,479.5,1367.164871,0.7489846265,2.73328081,518.5,529.5,1114.258735,107.5214368,763.2521932
369,380,2255.639098,0.3430837234,0.8453525017,419,430,1744.186047,0.5659121116,0.6351751899,469,480,1388.888889,0.7492407045,2.739560681,519,530,1132.075472,108.4448727,769.8879872
369.5,380.5,2290.219636,0.3432845071,0.8460427855,419.5,430.5,1771.196283,0.5671309451,0.6353689469,469.5,480.5,1410.567696,0.7494967825,2.745840552,519.5,530.5,1149.858624,109.3683085,776.5237812
370,381,2324.709411,0.3434852907,0.8467330693,420,431,1798.143852,0.5683497786,0.6355627039,470,481,1432.201432,0.7497528605,2.752120423,520,531,1167.608286,110.2917444,783.1595752
370.5,381.5,2359.108781,0.3436860744,0.8474233531,420.5,431.5,1825.028969,0.5695686121,0.6357564608,470.5,481.5,1453.790239,0.7500089385,2.758400294,520.5,531.5,1185.324553,111.2151803,789.7953692
371,382,2393.4181,0.3438868581,0.848113637,421,432,1851.851852,0.5707874455,0.6359502178,471,482,1475.334255,0.7502650165,2.764680165,521,532,1203.007519,112.1386162,796.4311632
371.5,382.5,2427.637722,0.3440876418,0.8488039208,421.5,432.5,1878.612717,0.572006279,0.6361439748,471.5,482.5,1496.833621,0.7505210945,2.770960036,521.5,532.5,1220.657277,113.0620521,803.0669572
372,383,2461.767997,0.3442884254,0.8494942046,422,433,1905.311778,0.5732251125,0.6363377318,472,483,1518.288475,0.7507771725,2.777239907,522,533,1238.273921,113.985488,809.7027512
372.5,383.5,2495.809275,0.3444892091,0.8501844884,422.5,433.5,1931.94925,0.574443946,0.6365314887,472.5,483.5,1539.698954,0.7510332505,2.783519778,522.5,533.5,1255.857545,114.9089239,816.3385452
373,384,2529.761905,0.3446899928,0.8508747723,423,434,1958.525346,0.5756627795,0.6367252457,473,484,1561.065197,0.7512893285,2.789799649,523,534,1273.40824,115.8323598,822.9743392
373.5,384.5,2563.626231,0.3448907765,0.8515650561,423.5,434.5,1985.040276,0.576881613,0.6369190027,473.5,484.5,1582.387341,0.7515454065,2.79607952,523.5,534.5,1290.926099,116.7557957,829.6101332
374,385,2597.402597,0.3450915602,0.8522553399,424,435,2011.494253,0.5781004464,0.6371127597,474,485,1603.665521,0.7518014845,2.802359391,524,535,1308.411215,117.6792316,836.2459272
374.5,385.5,2631.091347,0.3452923438,0.8529456238,424.5,435.5,2037.887486,0.5793192799,0.6373065167,474.5,485.5,1624.899874,0.7520575626,2.808639262,524.5,535.5,1325.863679,118.6026675,842.8817212
375,386,2664.69282,0.3454931275,0.8536359076,425,436,2064.220183,0.5805381134,0.6375002736,475,486,1646.090535,0.7523136406,2.814919133,525,536,1343.283582,119.5261034,849.5175152
375.5,386.5,2698.207355,0.3456939112,0.8543261914,425.5,436.5,2090.492554,0.5817569469,0.6376940306,475.5,486.5,1667.237638,0.7525697186,2.821199004,525.5,536.5,1360.671016,120.4495393,856.1533092
376,387,2731.63529,0.3458946949,0.8550164752,426,437,2116.704805,0.5829757804,0.6378877876,476,487,1688.341319,0.7528257966,2.827478875,526,537,1378.026071,121.3729752,862.7891032
376.5,387.5,2764.976959,0.3460954785,0.8557067591,426.5,437.5,2142.857143,0.5841946139,0.6380815446,476.5,487.5,1709.401709,0.7530818746,2.833758746,526.5,537.5,1395.348837,122.2964111,869.4248972
377,388,2798.232695,0.3462962622,0.8563970429,427,438,2168.949772,0.5854134473,0.6382753015,477,488,1730.418944,0.7533379526,2.840038617,527,538,1412.639405,123.219847,876.0606912
377.5,388.5,2831.402831,0.3464970459,0.8570873267,427.5,438.5,2194.982896,0.5866322808,0.6384690585,477.5,488.5,1751.393154,0.7535940306,2.846318488,527.5,538.5,1429.897864,124.1432829,882.6964852
378,389,2864.487697,0.3466978296,0.8577776106,428,439,2220.95672,0.5878511143,0.6386628155,478,489,1772.324472,0.7538501086,2.852598359,528,539,1447.124304,125.0667188,889.3322792
378.5,389.5,2897.487621,0.3468986133,0.8584678944,428.5,439.5,2246.871445,0.5890699478,0.6388565725,478.5,489.5,1793.213029,0.7541061866,2.85887823,528.5,539.5,1464.318814,125.9901546,895.9680732
379,390,2930.40293,0.3470993969,0.8591581782,429,440,2272.727273,0.5902887813,0.6390503294,479,490,1814.058957,0.7543622646,2.865158101,529,540,1481.481481,126.9135905,902.6038672
379.5,390.5,2963.233949,0.3473001806,0.859848462,429.5,440.5,2298.524404,0.5915076148,0.6392440864,479.5,490.5,1834.862385,0.7546183426,2.871437972,529.5,540.5,1498.612396,127.8370264,909.2396612
380,391,2995.981001,0.3475009643,0.8605387459,430,441,2324.263039,0.5927264482,0.6394378434,480,491,1855.623444,0.7548744206,2.877717843,530,541,1515.711645,128.7604623,915.8754552
380.5,391.5,3028.644408,0.347701748,0.8612290297,430.5,441.5,2349.943375,0.5939452817,0.6396316004,480.5,491.5,1876.342263,0.7551304986,2.883997714,530.5,541.5,1532.779317,129.6838982,922.5112492
381,392,3061.22449,0.3479025317,0.8619193135,431,442,2375.565611,0.5951641152,0.6398253573,481,492,1897.01897,0.7553865767,2.890277585,531,542,1549.815498,130.6073341,929.1470432
381.5,392.5,3093.721565,0.3481033153,0.8626095974,431.5,442.5,2401.129944,0.5963829487,0.6400191143,481.5,492.5,1917.653694,0.7556426547,2.896557456,531.5,542.5,1566.820276,131.53077,935.7828372
382,393,3126.135951,0.348304099,0.8632998812,432,443,2426.636569,0.5976017822,0.6402128713,482,493,1938.246563,0.7558987327,2.902837327,532,543,1583.793738,132.4542059,942.4186312
